city,local,coaqi,no2aqi,o3aqi,pm10aqi,pm25aqi,so2aqi,AQI
Jaipur,2020-10-26T05:15:00+05:30,220,198.8,6.36,122.7,322,11.125,322
Jaipur,2020-10-26T06:00:00+05:30,215.7142857,213.75,6.88,131.3333333,321.2307692,10.9,321.2307692
Jaipur,2020-10-26T06:30:00+05:30,197.5,198.33,5.16,131.7333333,320.5923077,12.625,320.5923077
Jaipur,2020-10-26T07:15:00+05:30,228.5714286,186.94,9.96,136.9866667,251.2666667,14.0625,251.2666667
Jaipur,2020-10-26T07:45:00+05:30,193.75,148.73,17.35,137.0466667,251.2666667,15.3375,251.2666667
Jaipur,2020-10-26T09:00:00+05:30,227.1428571,103.22,37.07,178.94,175.8,11.4625,227.1428571
Jaipur,2020-10-26T09:30:00+05:30,247.1428571,113.04,50.09,180.64,173.5,18.2375,247.1428571
Jaipur,2020-10-26T12:15:00+05:30,738.2352941,4.9,82.38,0,0,101.5866667,738.2352941
Jaipur,2020-10-26T19:00:00+05:30,348.8235294,129.89,16.46,128.2266667,51.06666667,11.1125,348.8235294
Jaipur,2020-10-26T19:30:00+05:30,325.8823529,107.37,28.59,128.2266667,49.66666667,18.1125,325.8823529
Jaipur,2020-10-26T20:00:00+05:30,173.75,115.91,18.05,135.6933333,38.75,8.3,173.75
Jaipur,2020-10-26T20:30:00+05:30,307.0588235,121.14,10.45,136.0466667,38.5,11.6875,307.0588235
Jaipur,2020-10-26T20:45:00+05:30,264.2857143,102.24,21.71,136.0466667,38.5,10.7625,264.2857143
Jaipur,2020-10-26T22:00:00+05:30,300,118.53,14.42,125.3733333,68.63333333,4.9,300
Jaipur,2020-10-26T23:00:00+05:30,306.4705882,121.38,7.91,128.2533333,96.15,6.9875,306.4705882
Jaipur,2020-10-27T00:30:00+05:30,191.25,53.675,66.75,131.5666667,94.88333333,13.775,191.25
Jaipur,2020-10-27T01:00:00+05:30,188.75,39.8,76.51,122.8666667,120.1333333,13.7375,188.75
Jaipur,2020-10-27T01:30:00+05:30,191.25,37.0625,72.77,122.7666667,120.1333333,12.35,191.25
Jaipur,2020-10-27T03:30:00+05:30,291.4285714,37.1875,73.33,136.8666667,213.9,10.0125,291.4285714
Jaipur,2020-10-27T04:00:00+05:30,171.25,55.75,64.27,135.5666667,194.8333333,7.2,194.8333333
Jaipur,2020-10-27T05:15:00+05:30,202.8571429,39.5375,73.55,139.1133333,250.8333333,16.4,250.8333333
Jaipur,2020-10-27T06:15:00+05:30,288.5714286,50.4375,66.1,145.2333333,295.2,13.175,295.2
Jaipur,2020-10-27T08:00:00+05:30,195,58.65,69.77,181.2666667,320.0153846,7.3125,320.0153846
Jaipur,2020-10-27T11:15:00+05:30,295.7142857,29.2875,151.4264706,178.82,309.5230769,13.7625,309.5230769
Jaipur,2020-10-27T11:30:00+05:30,302.9411765,36.025,131.4705882,178.82,309.5230769,13.15,309.5230769
Jaipur,2020-10-27T12:15:00+05:30,237.1428571,38.3125,141.6764706,171.8333333,282.6333333,13.4,282.6333333
Jaipur,2020-10-27T13:00:00+05:30,146.25,40.875,128.0735294,158.3733333,209.6666667,19.0375,209.6666667
Jaipur,2020-10-27T18:00:00+05:30,212.8571429,0.8125,36.27,160.3066667,302.3384615,14.675,302.3384615
Jaipur,2020-10-27T18:30:00+05:30,282.8571429,0.975,12.44,160.7733333,302.8769231,18.9625,302.8769231
Jaipur,2020-10-27T18:45:00+05:30,285.7142857,1.1,13.46,160.7733333,302.8769231,15.7125,302.8769231
Jaipur,2020-10-27T19:00:00+05:30,317.6470588,148.37,12.57,170.8533333,288.3,14.75,317.6470588
Jaipur,2020-10-27T19:30:00+05:30,297.1428571,117.92,37.75,171.0933333,288.0333333,14.7875,297.1428571
Jaipur,2020-10-27T19:45:00+05:30,252.8571429,73.1125,64.97,171.0933333,288.0333333,12.3125,288.0333333
Jaipur,2020-10-27T20:15:00+05:30,281.4285714,66.55,61.68,169.5,265.7,7.675,281.4285714
Jaipur,2020-10-27T20:30:00+05:30,280,76.9625,50.54,169.5,265.7,7.675,280
Jaipur,2020-10-27T20:45:00+05:30,298.5714286,102.07,30.26,169.5,265.7,7.1375,298.5714286
Jaipur,2020-10-27T21:00:00+05:30,290,111.2,22.79,153.4066667,231.6333333,5.9875,290
Jaipur,2020-10-27T21:30:00+05:30,228.5714286,120.82,14.81,152.46,229.6333333,4.9625,229.6333333
Jaipur,2020-10-27T22:30:00+05:30,182.5,104.34,20,143.9933333,175.4666667,3.2125,182.5
Jaipur,2020-10-27T23:15:00+05:30,151.25,47.8,39.85,134.4066667,154.6666667,4.0125,154.6666667
Jaipur,2020-10-28T01:00:00+05:30,193.75,40.5625,50.4,95.4,68.78333333,5.6625,193.75
Jaipur,2020-10-28T03:00:00+05:30,103.75,45.5,54.7,95.26,67.2,5.45,103.75
Jaipur,2020-10-28T07:45:00+05:30,298.5714286,146.59,7.57,102.1133333,78.81666667,7.2625,298.5714286
Jaipur,2020-10-28T11:15:00+05:30,191.25,43.2625,106.7058824,123.06,87.25,13.3625,191.25
Jaipur,2020-10-28T13:00:00+05:30,232.8571429,26.1375,88.61,100.1,68.86666667,10.55,232.8571429
Jaipur,2020-10-28T15:45:00+05:30,183.75,33.15,79.39,102.4533333,61.43333333,9.4875,183.75
Jaipur,2020-10-28T16:30:00+05:30,207.1428571,44.425,68.48,91.43,62.73333333,11.4375,207.1428571
Chennai,2020-10-26T04:45:00+05:30,40,20.8625,0.81,91.43,124.0666667,5.5125,124.0666667
Chennai,2020-10-26T05:15:00+05:30,50,20.7125,0.69,91.43,99.21666667,5.675,99.21666667
Chennai,2020-10-26T06:00:00+05:30,65,19.6375,1.37,91.43,87.36666667,5.425,91.43
Chennai,2020-10-26T06:15:00+05:30,60,19.4625,2.36,91.43,87.36666667,5.425,91.43
Chennai,2020-10-26T06:45:00+05:30,65,19.5125,5.34,91.43,87.35,5.8,91.43
Chennai,2020-10-26T07:15:00+05:30,45,18.675,8.21,91.43,87.3,6.0125,91.43
Chennai,2020-10-26T07:45:00+05:30,70,19.9,11.09,91.43,91.73333333,5.6125,91.73333333
Chennai,2020-10-26T09:00:00+05:30,40,20.1375,17.44,91.43,123.5333333,6.0875,123.5333333
Chennai,2020-10-26T09:45:00+05:30,40,19.4375,19.57,91.43,130.1333333,5.3,130.1333333
Chennai,2020-10-26T12:15:00+05:30,85,19.875,30.11,91.43,103.3333333,4.05,103.3333333
Chennai,2020-10-26T19:15:00+05:30,90,19.9625,0.56,91.43,99.75,4.2,99.75
Chennai,2020-10-26T19:45:00+05:30,102.5,19.0625,0.65,91.43,100.4,4.4375,102.5
Chennai,2020-10-26T20:15:00+05:30,95,20.0875,0.5,91.43,102.4666667,4.35,102.4666667
Chennai,2020-10-26T20:30:00+05:30,85,19.6625,0.56,91.43,102.4666667,3.4625,102.4666667
Chennai,2020-10-26T20:45:00+05:30,70,18.8375,0.61,91.43,106.9333333,3.5125,106.9333333
Chennai,2020-10-26T22:00:00+05:30,105,19.95,0.49,91.43,182.6,3.8125,182.6
Chennai,2020-10-26T23:00:00+05:30,95,19.4625,0.75,91.43,192.6333333,4.0125,192.6333333
Chennai,2020-10-27T00:30:00+05:30,101.25,19.2875,0.4,91.43,105.5333333,4.0625,105.5333333
Chennai,2020-10-27T01:15:00+05:30,85,20.725,0.4,91.43,120.7,5.1875,120.7
Chennai,2020-10-27T01:30:00+05:30,103.75,20.6125,0.37,91.43,120.7,5.6875,120.7
Chennai,2020-10-27T03:30:00+05:30,102.5,19.8,0.6,91.43,113.1666667,6.0625,113.1666667
Chennai,2020-10-27T04:15:00+05:30,75,19.8375,0.59,91.43,133.3,6.425,133.3
Chennai,2020-10-27T05:15:00+05:30,101.25,19.525,0.68,91.43,112.5666667,6.375,112.5666667
Chennai,2020-10-27T06:15:00+05:30,100,20.075,2.32,91.43,109.6,7.1125,109.6
Chennai,2020-10-27T08:00:00+05:30,85,19.6125,10.15,91.43,145.7333333,7.225,145.7333333
Chennai,2020-10-27T11:15:00+05:30,70,20.7625,16.87,91.43,128.5333333,6.2375,128.5333333
Chennai,2020-10-27T11:30:00+05:30,50,20.2875,29.05,91.43,128.5333333,5.775,128.5333333
Chennai,2020-10-27T12:30:00+05:30,30,19.3375,16.08,91.43,108.7333333,5.9125,108.7333333
Chennai,2020-10-27T13:15:00+05:30,20,19.675,12.65,91.43,130.0333333,7.95,130.0333333
Chennai,2020-10-27T18:15:00+05:30,106.25,19.1875,0.52,91.43,99.61666667,10.8125,106.25
Chennai,2020-10-27T18:45:00+05:30,120,19.225,0.58,91.43,91.66666667,8.075,120
Chennai,2020-10-27T19:00:00+05:30,105,17.65,0.58,91.43,69.81666667,8.1375,105
Chennai,2020-10-27T19:15:00+05:30,158.75,18.8375,0.56,91.43,69.81666667,6.6625,158.75
Chennai,2020-10-27T19:45:00+05:30,157.5,19.1125,0.56,91.43,69.81666667,5.2125,157.5
Chennai,2020-10-27T20:15:00+05:30,162.5,19.125,0.55,91.43,69.8,3.5375,162.5
Chennai,2020-10-27T20:45:00+05:30,145,19.8,0.49,91.43,69.95,3.6625,145
Chennai,2020-10-27T21:00:00+05:30,25,20.5375,0.25,91.43,70.33333333,3.8125,91.43
Chennai,2020-10-27T21:15:00+05:30,50,18.55,0.7,91.43,70.33333333,3.1625,91.43
Chennai,2020-10-27T21:30:00+05:30,55,18.7625,0.56,91.43,70.33333333,3.0375,91.43
Chennai,2020-10-27T22:30:00+05:30,45,19.3625,0.8,91.43,71.18333333,3.225,91.43
Chennai,2020-10-27T23:15:00+05:30,20,18.3125,0.6,91.43,72.31666667,2.4625,91.43
Chennai,2020-10-28T01:30:00+05:30,747.0588235,20.075,0.76,91.43,72.6,4.55,747.0588235
Chennai,2020-10-28T01:45:00+05:30,15,19.175,0.1,91.43,74.06666667,4.1125,91.43
Chennai,2020-10-28T02:00:00+05:30,10,20.7125,0.38,91.43,77.68333333,4.2,91.43
Chennai,2020-10-28T03:00:00+05:30,113.75,18.75,0.74,91.43,57.41666667,3.9625,113.75
Chennai,2020-10-28T07:45:00+05:30,113.75,19.9625,17.36,91.43,40.16666667,4.5375,113.75
Chennai,2020-10-28T08:30:00+05:30,103.75,19.8,10.04,91.43,37.75,5.0125,103.75
Chennai,2020-10-28T12:00:00+05:30,102.5,20.15,18.44,91.43,55.03333333,4.4375,102.5
Chennai,2020-10-28T13:30:00+05:30,75,20.425,36.78,91.43,75.48333333,4.2375,91.43
Chennai,2020-10-28T15:45:00+05:30,102.5,19.425,16.41,91.43,52.4,3.875,102.5
Delhi,2020-10-26T04:45:00+05:30,352.9411765,72.25,99.7,628.75,437.6923077,18.625,628.75
Delhi,2020-10-26T05:30:00+05:30,341.1764706,69.375,88.9,628.75,437.6923077,21.875,628.75
Delhi,2020-10-26T06:00:00+05:30,341.1764706,68.25,62.1,681.25,422.3076923,19.375,681.25
Delhi,2020-10-26T06:45:00+05:30,347.0588235,72.375,40.9,542.5,424.6153846,19.625,542.5
Delhi,2020-10-26T07:15:00+05:30,341.1764706,73.875,18.5,542.5,424.6153846,20.875,542.5
Delhi,2020-10-26T09:00:00+05:30,271.4285714,71,27.1,601.25,464.6153846,42.75,601.25
Delhi,2020-10-26T16:00:00+05:30,271.4285714,71,106.7647059,601.25,464.6153846,42.75,601.25
Delhi,2020-10-26T18:30:00+05:30,200,103.5,106.7647059,294,213.3333333,27.875,294
Delhi,2020-10-26T19:15:00+05:30,187.5,101,6.6,356.25,306.1538462,20.875,356.25
Delhi,2020-10-26T19:30:00+05:30,187.5,99.375,5.9,356.25,306.1538462,19.625,356.25
Delhi,2020-10-26T20:00:00+05:30,405.8823529,97.375,5.7,398.75,306.1538462,17.5,405.8823529
Delhi,2020-10-26T20:15:00+05:30,400,94.875,6.9,398.75,306.1538462,19,400
