city,local,co,no2,o3,pm10,pm25,so2
Jaipur,2020-10-26T05:15:00+05:30,1140,178.8,6.36,134.05,148.6,8.9
Jaipur,2020-10-26T06:00:00+05:30,1110,193.75,6.88,147,147.6,8.72
Jaipur,2020-10-26T06:30:00+05:30,980,178.33,5.16,147.6,146.77,10.1
Jaipur,2020-10-26T07:15:00+05:30,1200,166.94,9.96,155.48,105.38,11.25
Jaipur,2020-10-26T07:45:00+05:30,950,128.73,17.35,155.57,105.38,12.27
Jaipur,2020-10-26T09:00:00+05:30,1190,83.22,37.07,218.41,82.74,9.17
Jaipur,2020-10-26T09:30:00+05:30,1330,93.04,50.09,220.96,82.05,14.59
Jaipur,2020-10-26T12:15:00+05:30,9150,3.92,82.38,0,0,84.76
Jaipur,2020-10-26T19:00:00+05:30,2530,109.89,16.46,142.34,30.64,8.89
Jaipur,2020-10-26T19:30:00+05:30,2140,87.37,28.59,142.34,29.8,14.49
Jaipur,2020-10-26T20:00:00+05:30,790,95.91,18.05,153.54,23.25,6.64
Jaipur,2020-10-26T20:30:00+05:30,1820,101.14,10.45,154.07,23.1,9.35
Jaipur,2020-10-26T20:45:00+05:30,1450,82.24,21.71,154.07,23.1,8.61
Jaipur,2020-10-26T22:00:00+05:30,1700,98.53,14.42,138.06,41.18,3.92
Jaipur,2020-10-26T23:00:00+05:30,1810,101.38,7.91,142.38,57.69,5.59
Jaipur,2020-10-27T00:30:00+05:30,930,42.94,66.75,147.35,56.93,11.02
Jaipur,2020-10-27T01:00:00+05:30,910,31.84,76.51,134.3,66.04,10.99
Jaipur,2020-10-27T01:30:00+05:30,930,29.65,72.77,134.15,66.04,9.88
Jaipur,2020-10-27T03:30:00+05:30,1640,29.75,73.33,155.3,94.17,8.01
Jaipur,2020-10-27T04:00:00+05:30,770,44.6,64.27,153.35,88.45,5.76
Jaipur,2020-10-27T05:15:00+05:30,1020,31.63,73.55,158.67,105.25,13.12
Jaipur,2020-10-27T06:15:00+05:30,1620,40.35,66.1,167.85,118.56,10.54
Jaipur,2020-10-27T08:00:00+05:30,960,46.92,69.77,221.9,146.02,5.85
Jaipur,2020-10-27T11:15:00+05:30,1670,23.43,134.97,218.23,132.38,11.01
Jaipur,2020-10-27T11:30:00+05:30,1750,28.82,121.4,218.23,132.38,10.52
Jaipur,2020-10-27T12:15:00+05:30,1260,30.65,128.34,207.75,114.79,10.72
Jaipur,2020-10-27T13:00:00+05:30,570,32.7,119.09,187.56,92.9,15.23
Jaipur,2020-10-27T18:00:00+05:30,1090,0.65,36.27,190.46,123.04,11.74
Jaipur,2020-10-27T18:30:00+05:30,1580,0.78,12.44,191.16,123.74,15.17
Jaipur,2020-10-27T18:45:00+05:30,1600,0.88,13.46,191.16,123.74,12.57
Jaipur,2020-10-27T19:00:00+05:30,2000,128.37,12.57,206.28,116.49,11.8
Jaipur,2020-10-27T19:30:00+05:30,1680,97.92,37.75,206.64,116.41,11.83
Jaipur,2020-10-27T19:45:00+05:30,1370,58.49,64.97,206.64,116.41,9.85
Jaipur,2020-10-27T20:15:00+05:30,1570,53.24,61.68,204.25,109.71,6.14
Jaipur,2020-10-27T20:30:00+05:30,1560,61.57,50.54,204.25,109.71,6.14
Jaipur,2020-10-27T20:45:00+05:30,1690,82.07,30.26,204.25,109.71,5.71
Jaipur,2020-10-27T21:00:00+05:30,1630,91.2,22.79,180.11,99.49,4.79
Jaipur,2020-10-27T21:30:00+05:30,1200,100.82,14.81,178.69,98.89,3.97
Jaipur,2020-10-27T22:30:00+05:30,860,84.34,20,165.99,82.64,2.57
Jaipur,2020-10-27T23:15:00+05:30,610,38.24,39.85,151.61,76.4,3.21
Jaipur,2020-10-28T01:00:00+05:30,950,32.45,50.4,95.4,41.27,4.53
Jaipur,2020-10-28T03:00:00+05:30,230,36.4,54.7,95.26,40.32,4.36
Jaipur,2020-10-28T07:45:00+05:30,1690,126.59,7.57,103.17,47.29,5.81
Jaipur,2020-10-28T11:15:00+05:30,930,34.61,104.56,134.59,52.35,10.69
Jaipur,2020-10-28T13:00:00+05:30,1230,20.91,88.61,100.15,41.32,8.44
Jaipur,2020-10-28T15:45:00+05:30,870,26.52,79.39,103.68,36.86,7.59
Jaipur,2020-10-28T16:30:00+05:30,1050,35.54,68.48,91.43,37.64,9.15
Chennai,2020-10-26T04:45:00+05:30,80,16.69,0.81,91.43,67.22,4.41
Chennai,2020-10-26T05:15:00+05:30,100,16.57,0.69,91.43,59.53,4.54
Chennai,2020-10-26T06:00:00+05:30,130,15.71,1.37,91.43,52.42,4.34
Chennai,2020-10-26T06:15:00+05:30,120,15.57,2.36,91.43,52.42,4.34
Chennai,2020-10-26T06:45:00+05:30,130,15.61,5.34,91.43,52.41,4.64
Chennai,2020-10-26T07:15:00+05:30,90,14.94,8.21,91.43,52.38,4.81
Chennai,2020-10-26T07:45:00+05:30,140,15.92,11.09,91.43,55.04,4.49
Chennai,2020-10-26T09:00:00+05:30,80,16.11,17.44,91.43,67.06,4.87
Chennai,2020-10-26T09:45:00+05:30,80,15.55,19.57,91.43,69.04,4.24
Chennai,2020-10-26T12:15:00+05:30,170,15.9,30.11,91.43,61,3.24
Chennai,2020-10-26T19:15:00+05:30,180,15.97,0.56,91.43,59.85,3.36
Chennai,2020-10-26T19:45:00+05:30,220,15.25,0.65,91.43,60.12,3.55
Chennai,2020-10-26T20:15:00+05:30,190,16.07,0.5,91.43,60.74,3.48
Chennai,2020-10-26T20:30:00+05:30,170,15.73,0.56,91.43,60.74,2.77
Chennai,2020-10-26T20:45:00+05:30,140,15.07,0.61,91.43,62.08,2.81
Chennai,2020-10-26T22:00:00+05:30,240,15.96,0.49,91.43,84.78,3.05
Chennai,2020-10-26T23:00:00+05:30,190,15.57,0.75,91.43,87.79,3.21
Chennai,2020-10-27T00:30:00+05:30,210,15.43,0.4,91.43,61.66,3.25
Chennai,2020-10-27T01:15:00+05:30,170,16.58,0.4,91.43,66.21,4.15
Chennai,2020-10-27T01:30:00+05:30,230,16.49,0.37,91.43,66.21,4.55
